Network_no	Model_no	func_type	model
34	0	scNCF	[1, 13527612320720600063, 19, 307, 1, 1, 22391, 4371, 81050410270963436567586270086143, 261, 17039359, 1]
35	0	scNCF	[35, 256835584, 2, 8, 1, 52352, 822031103, 1, 1, 1, 3378301025124492, 2]
36	0	scNCF	[2, 113401487421621496032595149397291259136, 252653327, 2, 52420, 234, 7, 14355722028449791, 179, 2, 1228, 1]
37	0	scNCF	[69, 1, 1089871109823660031, 1432311647, 1, 1, 563, 867908539, 7, 5631, 21, 19]
38	0	scNCF	[2, 7, 32767, 1, 2, 9011, 1, 1, 35, 1, 248, 13303]
39	0	scNCF	[1548657678992474689825083151, 1, 1, 7, 55, 8706, 6672203272959615679090834980123643663, 1, 7, 16, 1, 7]
40	0	scNCF	[2, 65276, 8, 65262, 2, 34944, 60074, 224, 2, 2, 340282366891383251867975946189532070016, 4042309856]
41	0	scNCF	[2, 200, 247, 1, 12851, 1, 13, 65023, 224, 220, 2, 36608]
42	0	scNCF	[21, 24447, 932152919121283244070735631, 7, 21, 1, 1, 1288440844, 4294902547, 67437829, 1, 1]
43	0	scNCF	[2, 2, 4278123262, 3435971652, 4289200128, 65194, 43754, 14, 18446736308408680448, 2, 128, 2]
44	0	scNCF	[7, 371382008096265268586820403, 127, 127, 1, 13, 2047, 812711935, 7, 1376261, 127, 872364031]
45	0	scNCF	[14, 7, 253714271, 1, 1, 788492, 1, 1, 6149477641762592085, 2, 1, 11]
46	0	scNCF	[19, 31, 1, 1, 127, 16726015, 1, 1, 87, 21, 1258291, 5631]
47	0	scNCF	[31, 21887, 1, 7, 563, 1, 511, 2047, 1, 13111, 47, 1]
48	0	scNCF	[13115, 6148952220660758399, 62455, 8243, 32, 4029739120, 2955997424, 13, 2, 11, 2, 112]
49	0	scNCF	[11, 8706, 1, 1884356607, 31, 205, 11, 2, 2, 4278255361, 69, 127]
50	0	scNCF	[14, 2, 2, 4113, 1293, 87, 43552, 36044, 291612525525730316, 213, 1, 1]
51	0	scNCF	[7, 65451, 1, 1, 18446687783868170239, 59, 65395, 44031, 49151, 17913173, 2, 7]
52	0	scNCF	[14, 68094991, 61182, 12585872111570911232, 2, 65228, 1, 13, 2136932352, 1, 1, 2]
53	0	scNCF	[3848, 1, 4, 14, 220, 1, 1, 64, 11, 13, 11, 2]
54	0	scNCF	[1, 2, 11, 21, 127, 7, 1431787351, 4336, 87, 7, 5119, 32767]
55	0	scNCF	[41088, 15914837951951929344, 236, 2, 14, 8, 14, 14, 61568, 43648, 168, 200]
56	0	scNCF	[236, 14, 2, 3584, 224, 2, 2, 2, 18446743936270598144, 14, 65274, 2]
57	0	scNCF	[52460, 1431655504, 8, 253, 2, 4278124282, 14, 14, 32768, 2, 14, 2]
58	0	scNCF	[1441791, 31, 21, 3722431692, 21, 1, 19, 1114131, 196615, 87, 1, 17919]
59	0	scNCF	[2, 35, 43648, 11, 13, 4291624396, 13, 1440022528, 1, 21504, 4258057420, 64]
60	0	scNCF	[2, 47866, 14, 84, 2867505902, 239, 162, 2, 271519730071878030018864635173255826432, 179, 14771525306237714432, 2]
61	0	scNCF	[19, 47803, 1, 30591, 1281, 926367543, 7, 69, 1061126143, 7, 1, 30071]
62	0	scNCF	[1, 1, 1, 6151729621403391487, 1, 7, 55, 11, 30591, 11731199, 2, 1]
63	0	scNCF	[61693, 213, 15794176, 65503, 2, 14, 2, 11, 24351, 65356, 41184, 23903]
64	0	scNCF	[4, 8, 254, 251660288, 1328923680720979371576634884189257983, 8, 254, 14, 60620, 49216, 2, 234]
65	0	scNCF	[14699973487540358144, 4288741344, 13307, 2, 17063294343274351820, 52447, 254, 162, 14, 11184298, 4, 284233263213469925149826757188862869504]
66	0	scNCF	[13, 787, 31, 2, 24855894116334931301687644241, 1, 1, 1, 1, 1, 7999, 1]
67	0	scNCF	[1, 7, 1, 7, 48063, 42, 1, 1, 1, 36029531458371583, 76, 87]
68	0	scNCF	[8, 3975990476, 1, 3328, 2, 14, 1, 7, 8, 13, 2, 244]
69	0	scNCF	[2, 4244175096, 128, 2, 4041211904, 14, 8, 168, 14, 14, 2, 4008505036]
70	0	scNCF	[1, 60074, 43168, 8739, 32, 2, 11, 4, 35, 8, 64972, 65311]
71	0	scNCF	[18229723555192171724, 248, 248, 200, 2, 17149707384952717312, 8192, 200, 4293590954, 2, 16933253126799622144, 2]
72	0	scNCF	[2, 1, 52232, 140, 13, 57103, 3221258240, 1, 8, 196627, 1082279003761348367, 2]
73	0	scNCF	[13183, 1, 7, 1, 50530063, 55, 1, 1, 1, 1, 1, 1]
74	0	scNCF	[17339123138056728736, 2864381951, 4244111360, 128, 4, 2, 8, 186, 3221278720, 2, 2, 2]
75	0	scNCF	[8, 2, 248, 4116051797, 2, 65276, 2, 234, 2, 226854056091839264373074794884371218568, 14, 14]
76	0	scNCF	[7999, 47, 35, 1, 1, 77885641318594605983051144423800831, 1, 186, 7, 19, 1, 241]
77	0	scNCF	[8, 18157383378062277370, 18446744073709535360, 2868554474, 14, 4160749568, 64732, 2, 2, 236, 14, 47]
78	0	scNCF	[236, 50528768, 9836002875577237632, 224, 168, 224, 236, 2, 220, 4, 32, 43688]
79	0	scNCF	[2, 64248, 64426, 2, 1, 206, 168, 200, 18446687779573188608, 234, 60416, 18374966859146465024]
80	0	scNCF	[234, 2, 8, 168, 2, 254, 13, 248, 236, 18446686903399860224, 196, 168]
81	0	scNCF	[220, 248, 1, 4294905907, 76, 2, 3003183872, 49, 32512, 4, 191, 2]
82	0	scNCF	[3848, 8, 8, 200, 236, 13893604853941272576, 62464, 4294180850, 8, 14, 1146373205, 4294963148]
83	0	scNCF	[3842, 31, 1, 32767, 1, 536870911, 17723342345362997247, 55, 1, 1, 20431, 7]
84	0	scNCF	[5381, 7, 2, 1, 1, 1, 4283826007, 7, 13183, 1, 5393, 22856490707267360463996376991510298623]
85	0	scNCF	[2, 11, 65262, 168, 2, 14, 4294967294, 8, 8, 168, 14, 2]
86	0	scNCF	[179, 14, 65528, 248, 14, 14, 224, 234, 186, 2, 8, 14]
87	0	scNCF	[14, 14, 8, 224, 61162, 234, 2, 2863308928, 128, 236, 2, 2]
88	0	scNCF	[11, 3506393343, 1, 272225893536750770774388997376224255487, 2, 7, 65524, 45216, 15987215726639177213, 1, 13527330842593984512, 4]
89	0	scNCF	[87, 13, 127, 17761039, 21, 511, 7, 7, 24543, 21, 21, 7]
90	0	scNCF	[64766, 2, 65296, 4, 208, 13, 5787213827130348881, 241, 8358400532934557695, 1, 8, 2]
91	0	scNCF	[1, 2, 143, 1, 11, 3435924556, 30711, 127, 20991, 11, 1, 7]
92	0	scNCF	[7, 2, 1293, 1, 1, 7999, 11, 31, 327687, 20016609818878733144904512848551415807, 1426085632, 24447]
93	0	scNCF	[13, 1, 2, 8, 2, 4294930512, 12047, 45875, 8, 4110218484, 47, 191]
94	0	scNCF	[32767, 21887, 5631, 290525525, 31, 19, 1, 55, 87, 55, 1572837671124293169914905861, 8]
95	0	scNCF	[13, 1, 138, 168, 52477, 239, 2, 2, 7, 11, 4, 63743]
96	0	scNCF	[1, 84, 2, 64248, 16, 87, 65480, 1, 7, 247, 1, 983051]
97	0	scNCF	[1, 50, 7, 191, 1, 15728882, 52701, 17749, 18446744073456865344, 168, 868168511, 128]
98	0	scNCF	[11, 171, 14, 179, 2, 3584, 51336, 723407225938906894, 10786, 2, 4289265663, 2]
99	0	scNCF	[4063, 3467824695791845376, 61951, 205, 4, 2326462463, 5119, 1, 1, 4280483626, 112, 1547484470591274030591406768180428]
100	0	scNCF	[21572, 14, 55, 2, 1426120448, 1, 808661555, 11, 4293853182, 81, 1, 3435982062]
101	0	scNCF	[19, 5119, 2, 21, 1228, 2698, 127, 13111, 1, 335479807, 87, 4371]
102	0	scNCF	[19, 19, 112, 7, 61422, 325660858966375933830883591969938927856, 174, 1092, 140, 4244437244, 1, 1]
103	0	scNCF	[2, 2, 8, 2, 13, 200, 200, 236, 2, 13, 4, 8]
104	0	scNCF	[18446744073389670399, 2281752576, 12297078785229979648, 2, 226854911306936703847009194314243746474, 14, 32904, 3584, 206, 1, 17352581298358632640, 224]
105	0	scNCF	[196, 128, 35583, 213, 65294, 2, 2, 276226604140289137010973907347187945423, 2818615978, 143, 234, 2]
106	0	scNCF	[13115, 87, 1, 1, 7, 76, 1, 1, 2, 13171, 1, 256]
107	0	scNCF	[1, 4, 18427602899115704115, 21572, 42, 76, 1, 2, 7, 2, 1, 1]
108	0	scNCF	[16255, 7, 21887, 7, 19, 7, 1, 1, 7, 22527, 1, 127]
109	0	scNCF	[1, 2, 59, 4279303953, 1, 1, 286331217, 8432, 35, 1, 1, 7]
110	0	scNCF	[4176542448, 1281, 13247, 2, 2, 162, 4294942752, 4294946864, 43144, 3722239453, 271872817349050255496633066461608856780, 1]
111	0	scNCF	[1, 1, 4031, 84344832, 1, 7, 335544319, 1, 1, 1, 21, 770]
112	0	scNCF	[2060, 1, 3967, 2013233151, 1, 16713727, 6302600029093188949, 7, 55, 7999, 29683, 21]
113	0	scNCF	[1, 3758052693, 9215, 19, 67968200281110679896340663254518857728, 2, 724533151447121919, 13, 21829, 5461, 1, 1]
114	0	scNCF	[4919131753258701892, 13, 2, 60416, 8, 4, 2, 2, 1326436111, 8, 253, 14]
115	0	scNCF	[128, 49280, 2, 2, 2, 254, 2, 64248, 200, 41088, 18446647905096761344, 8]
116	0	scNCF	[224, 52232, 43688, 14, 14, 13, 13, 234, 14, 2, 8, 252579584]
117	0	scNCF	[1795, 1, 1, 65301, 71777215351568383, 19, 1, 127, 52735, 1, 4280287231, 1]
118	0	scNCF	[93, 4042322687, 2, 2293763, 8, 2, 1, 1, 93, 171, 7, 2]
119	0	scNCF	[60620, 49280, 168, 254, 4278124270, 128, 65024, 14, 200, 8, 14, 2]
120	0	scNCF	[50267135, 2571, 7, 1, 4, 3967, 7, 4433, 1, 224, 12095, 3851]
121	0	scNCF	[1, 2, 2, 55, 8, 2, 4009684735, 2, 14, 63487, 162, 1431786871]
122	0	scNCF	[1, 135204623, 140, 235540234, 200, 43774, 115, 168, 16711699, 7, 1065151889663, 1]
123	0	scNCF	[7, 1, 1, 1065300787, 16131856335277907423, 12095, 2, 50332417, 2571, 2, 4, 1]
124	0	scNCF	[4042317824, 18440832729831440384, 65194, 11, 2, 8, 32768, 4634274729984802880, 61664, 2, 8, 168]
125	0	scNCF	[1, 21, 16734207, 7, 22685572574618483566081184701739259221, 1, 19, 273, 1, 1, 31, 7]
126	0	scNCF	[115, 1, 2, 191, 251, 4, 13057, 2, 223, 34984, 4915, 143]
127	0	scNCF	[8, 206, 234, 2, 224, 200, 2, 8, 65454, 213, 52424, 2829754538]
128	0	scNCF	[2, 563, 213, 2, 50, 8447, 49151, 16175, 11, 3839, 7, 1]
129	0	scNCF	[807403520, 1, 65504, 65480, 2, 2, 18432386431827365068, 14, 2728435872, 2, 2, 2]
130	0	scNCF	[22391, 55, 223, 247252677357792, 59, 7, 196, 7, 7999, 3148529578, 1, 7]
131	0	scNCF	[6148914691270729567, 1, 50268927, 21, 1, 1, 251, 7, 4, 1, 21, 2251552557774094143]
132	0	scNCF	[3980970136495406911, 1, 1, 1, 7, 257892191, 261, 14143, 1, 21, 1, 1]
133	0	scNCF	[2, 4, 60416, 1, 17941215019714215936, 21504, 43008, 52429, 340266789871906533970190064306643533824, 18446744072707425476, 81, 14]
134	0	scNCF	[20592, 43963, 171, 2, 21, 2863269888, 11, 11, 49216, 115, 112, 1]
135	0	scNCF	[2, 224, 2, 213, 14, 50, 14, 138, 4227806207, 53440, 34944, 248]
136	0	scNCF	[1, 1, 1, 55, 1, 7, 1, 1, 5576021, 4, 19, 1]
137	0	scNCF	[213, 64748, 208, 11597033956761985264, 63728, 242, 14, 14, 8, 8, 3423128712, 236]
138	0	scNCF	[1, 1006580735, 13, 4096, 3461478421044702425226683906820232, 3071, 18086730985638001408, 11, 4, 14, 14, 573714994]
139	0	scNCF	[1, 19, 7, 863450999, 1, 1, 20016609818878733144904388673265434623, 1, 7, 7, 1, 775]
140	0	scNCF	[1, 2, 4147, 7, 3871, 11, 261, 1, 2, 14, 7, 1602191231]
141	0	scNCF	[3604735, 1, 4373, 1, 1431664511, 1, 1, 247, 2, 31, 22367, 4915]
142	0	scNCF	[65194, 4278241280, 8, 186, 2, 18374958063321936640, 2574, 2, 2, 13, 43552, 4261476864]
143	0	scNCF	[18446650241559013888, 14, 14, 32768, 2, 64248, 236, 14, 128, 14, 59904, 200]
144	0	scNCF	[2, 333610163647959542640144738628133386922, 2684387328, 248, 8, 14, 248, 8, 340282366920566114329380045715373293568, 8, 128, 18446725308997431020]
145	0	scNCF	[1, 7, 867417019, 1, 10922, 2, 127, 4244626687, 112, 1, 196, 7]
146	0	scNCF	[56572, 4176, 55, 65335, 49, 8, 1426079744, 23943330552680533, 7, 140, 4, 16639]
147	0	scNCF	[7, 52991, 3431727104, 50, 200, 65476, 16639, 8, 8, 224, 340256403772854376519531950795894292479, 1]
148	0	scNCF	[2825787833713162, 244, 2, 8, 7, 128, 11143338, 2315450687848325666, 252579596, 2699075824, 65504, 8]
149	0	scNCF	[8754, 234, 18446476673340606668, 2, 2, 224, 44847, 11, 68040896254995504637633194342967423024, 319019586845604567619546764888988778240, 176, 2]
150	0	scNCF	[191, 35, 4, 2, 6148821988662400341, 1, 12337, 9011, 13, 7, 13834969749412360111, 2]
151	0	scNCF	[18432388630850633600, 236, 13889312908954861696, 65024, 14, 8, 234, 2, 52424, 224, 128, 2]
152	0	scNCF	[2, 11, 84, 2, 2, 224, 1, 8, 32, 17339123001959968768, 254, 4]
153	0	scNCF	[8, 16, 179, 2, 30579, 858980384, 1, 220, 11, 2, 253, 2063]
154	0	scNCF	[7, 7, 1, 112, 1, 1, 4867, 1, 87, 55, 20018238749900406275039401389501415295, 7]
155	0	scNCF	[521084703, 7, 93, 52735, 1432158208, 112, 1, 4, 127, 2, 253, 2]
156	0	scNCF	[2, 4278124282, 14, 66428970690412748, 8, 226802987519746570002588354295906740384, 2, 14, 4244437232, 2, 143, 8]
157	0	scNCF	[8, 4294901674, 14, 4294966784, 2, 14, 14, 65274, 18446744073456890016, 60074, 14, 14]
158	0	scNCF	[168, 63738, 236, 254, 1, 2, 18374966859414957824, 14178669461170864320, 62195, 81, 2, 11]
159	0	scNCF	[2, 18446518928087921459, 62387, 51455, 1, 2, 64506, 140, 340277174683397082919403934624594395136, 3204496128, 1, 1]
160	0	scNCF	[293743100054938092045712459262141988092, 2, 1, 1, 1, 1, 13, 1807, 14, 35, 55, 2449995593569796095]
161	0	scNCF	[8, 248, 2, 168, 14, 224, 253, 57536, 14, 43144, 234, 65480]
162	0	scNCF	[1, 2, 1, 3675275069342351359, 1, 143, 21781, 1, 2, 1, 127, 6148914690950186325]
163	0	scNCF	[3975072972, 324269079065835476942821325432165741363, 251, 53135, 4294921228, 14, 14699749187092742144, 7, 168, 255216967447949510089235527354812530687, 2, 4244176112]
164	0	scNCF	[28720, 1, 14, 253, 2, 244, 2934877870, 65408, 4042325759, 1, 186, 2]
165	0	scNCF	[14, 2, 2818572288, 2, 50176, 128, 8, 60416, 4272615082, 2, 17226179578674806784, 14]
166	0	scNCF	[15925495, 13, 13, 19, 2, 17477, 1347506256, 55, 4, 2, 140, 327701]
167	0	scNCF	[1293, 226944911066451813191114268539366342655, 4294906675, 4336, 224, 49, 1, 4, 140, 65020, 2695537322, 1]
168	0	scNCF	[1358917887, 143, 1, 1602191231, 205, 1, 87, 1, 55, 1, 35, 49]
169	0	scNCF	[13, 11, 14, 2461780147018792960, 14, 340277823740415403281097497971378880512, 3486305740, 128, 213, 143, 8, 1]
170	0	scNCF	[200, 61354, 168, 13, 224, 1, 4, 3431763084, 14, 43168, 1, 138]
171	0	scNCF	[7, 59, 127, 7, 55, 7, 2, 13, 32607, 11, 1, 66307]
172	0	scNCF	[43008, 65528, 2, 65329, 1, 251, 18446567395934801679, 35338, 14, 220, 1, 859044659]
173	0	scNCF	[1349, 1, 2, 4294901934, 2, 242, 65054287276501324436460853807528607743, 1329532236589450813219709961572974591, 526344031, 20991, 171, 317596877065497678283979372354263252734]
174	0	scNCF	[14, 248, 254, 14, 2, 50244, 200, 43648, 168, 200, 18410996386578366378, 2]
175	0	scNCF	[251, 8, 138, 14, 2, 14, 8, 64186, 2, 14, 35976, 128]
176	0	scNCF	[65408, 168, 224, 3768623264, 65418, 65024, 2, 2, 65408, 2, 168, 43648]
177	0	scNCF	[115, 65301, 1, 223, 7, 14356543226196787, 69, 1, 65311, 7, 76, 223]
178	0	scNCF	[1, 1, 5393, 787, 1, 7, 1, 7, 1, 1, 8031, 14199]
179	0	scNCF	[1, 196, 2, 2, 65361, 2, 1, 18446483562468212736, 140, 317596183645084419621017186871110585548, 340282366884047527921060191904392054920, 3132795578]
180	0	scNCF	[14, 4294956288, 2, 2, 3439316174, 60142, 1, 4059100147, 16, 1, 47, 24063]
181	0	scNCF	[61199, 2, 128, 8192, 8, 1, 13, 49352, 7, 115, 65408, 4227465216]
182	0	scNCF	[19, 206, 1, 4028690432, 42, 12561, 11, 1, 1, 2, 12287, 14]
183	0	scNCF	[8, 1, 8, 2, 65488, 2, 168, 50, 2, 236, 2, 8]
184	0	scNCF	[2684411904, 4039176320, 340278903778725996516665287649651545344, 62964, 4294944928, 2, 18229723554925837548, 200, 8, 2, 8, 6149102338357720437]
185	0	scNCF	[1052945, 174, 140, 1092, 20816, 2, 340282366920636227396784931710687117061, 64256, 318964483, 2, 8, 16]
186	0	scNCF	[1, 1, 2571, 1, 1, 127, 30591, 4, 511, 7, 81, 79]
187	0	scNCF	[14, 61664, 8, 3431516296, 168, 2, 14, 224, 2, 18374862405810290688, 18446744073676058112, 65448]
188	0	scNCF	[22013, 20991, 22527, 2260559760262692863, 1, 1, 2, 1434386432, 4, 1, 2, 1]
189	0	scNCF	[14, 8, 200, 2, 57344, 43168, 224, 2, 168, 14, 8, 2]
190	0	scNCF	[20496, 87, 1, 21844, 21, 162, 49, 276229215515440053869481522460646965199, 2, 286347537, 59, 2]
191	0	scNCF	[87, 59, 4575657217113522175, 49, 8, 13, 21, 7, 2, 13, 1, 2]
192	0	scNCF	[254, 3486437324, 8, 4042293248, 14, 49216, 236, 1, 11, 64, 20736, 2]
193	0	scNCF	[14, 223, 19, 59, 841154559, 272163422764433573458311226103668146175, 176, 4289396736, 52460, 2, 2, 47866]
194	0	scNCF	[65408, 236, 2, 65456, 236, 61162, 128, 179, 224, 18084972497177590458, 93, 2]
195	0	scNCF	[13, 51922968595019682845036746457612288, 171, 234, 7, 202182415, 1, 1, 4, 1, 174, 196]
196	0	scNCF	[14, 4, 13, 1795, 1, 1, 13, 220, 1, 179, 47, 2]
197	0	scNCF	[60620, 11, 14, 236, 11, 213, 4009675980, 174, 2, 14, 4009798144, 50]
198	0	scNCF	[340204481517304356769115509840952754163, 146929980961065482, 1, 5242992, 8, 2004309335, 4092788735, 2, 200, 1, 1, 30551]
199	0	scNCF	[1, 14, 2, 770, 1, 4401, 1061126143, 7, 87, 14143, 1, 4]
200	0	scNCF	[13, 8, 8, 8, 2, 2, 2, 2, 8, 248, 57344, 2]
201	0	scNCF	[1, 7, 59, 127, 2, 220, 64, 1, 1, 1, 206, 1]
202	0	scNCF	[2, 334970566183010332722197645145657101312, 14, 2, 234, 248, 254, 2, 128, 8, 200, 2]
203	0	scNCF	[87, 69, 18432388630842245068, 1, 19, 1085102593913331471, 191, 2136964991, 1, 1, 21887, 8031]
204	0	scNCF	[1, 1, 4, 65228, 247, 1, 1, 14, 4144, 4092850931, 2, 65516]
205	0	scNCF	[2, 1, 1, 5461, 339020619531577235926610719577418825484, 55, 176, 1287, 7, 196, 1, 1]
206	0	scNCF	[1, 1426194431, 14, 79, 24399, 18220681034127441116, 13, 2, 1, 1, 11, 1]
207	0	scNCF	[63472, 41122, 2, 4293853184, 4, 8, 205, 8, 8, 162, 1, 186]
208	0	scNCF	[4026535936, 2, 18445336668744515328, 11, 1, 52424, 13, 52684, 14, 1, 8, 11]
209	0	scNCF	[2147418367, 7, 55, 2004301687, 1, 7, 2, 1, 1, 1301, 1, 369034751]
210	0	scNCF	[13, 1431688693, 4915, 21, 1, 1, 4, 65503, 2, 43562, 1, 1]
211	0	scNCF	[251, 13, 44943, 13, 12047, 2, 8084084961763655679, 8226, 7, 2, 19, 65534]
212	0	scNCF	[51336, 1, 24543, 186, 1, 2, 2, 1308478457234898278002366589159079936, 4092785651, 196, 2, 4867]
213	0	scNCF	[2, 1, 1, 51404, 65024, 8, 254, 248, 2, 13, 2, 32904]
214	0	scNCF	[76, 2, 61688, 48058, 2, 2, 2863591150, 14, 2, 2, 2, 8]
215	0	scNCF	[1, 1, 69905, 50, 1, 55, 69, 1145883852, 787, 7, 44031, 8754]
216	0	scNCF	[1, 100598271, 1, 205, 7, 576188069258924031, 18446744069420154967, 7, 31, 13, 29515995293237480634420559871, 4]
217	0	scNCF	[14, 179, 8, 168, 60620, 168, 4008505036, 248, 65533, 41088, 253, 2]
218	0	scNCF	[2, 13, 2, 2, 251, 76, 21759, 4, 16588, 234, 2, 17361655774789566463]
219	0	scNCF	[19, 21877, 2, 62387, 1, 112, 7, 116096337001694029887054653043008077823, 16576, 1, 127, 1]
220	0	scNCF	[168, 552661232, 64748, 2, 224, 4126539773, 64, 32, 128, 2, 8, 200]
221	0	scNCF	[4244438783, 11, 2, 16639, 2930421422, 7, 4109696244, 181495005871646613136564430626749415424, 2, 50, 14, 1]
222	0	scNCF	[2881207227, 1, 1, 4, 1, 4, 1, 4063, 4043305214, 19, 1, 11]
223	0	scNCF	[1228, 13, 11141802, 4290772799, 1, 65407, 2, 4282384159, 79, 286331155, 1228, 22391]
224	0	scNCF	[2698, 1, 63283, 251793155, 1431656287, 4915, 176859818, 11, 16843011, 54971286434047, 2, 24447]
225	0	scNCF	[14, 4294946607, 11, 47786, 2861083264, 79228159286084124698650672896, 8, 340282366894528912268361832825164040704, 8, 50, 1, 1]
226	0	scNCF	[51200, 2, 4291362696, 4, 2, 168, 14, 128, 65418, 18302908165848627712, 2, 61616]
227	0	scNCF	[79, 13, 4294311893, 14, 1442791679, 1, 4, 234, 162, 3689348813933445632, 52736, 2]
228	0	scNCF	[1039077352583484160475008962985983, 168, 2, 1293, 618970001195946063807119359, 1, 127, 62464, 1, 55, 6196766124483237367, 1]
229	0	scNCF	[242, 1, 13, 234, 2, 247, 65344, 31, 2, 140, 4294180787, 140]
230	0	scNCF	[857944835, 13, 52352, 14, 8, 14, 248, 59, 3758145536, 4206557946, 8, 14]
231	0	scNCF	[41122, 1, 340282285870528197222304487530771237888, 3707751628, 213, 1426084096, 45104, 14, 13, 1, 4294959104, 18446650250148969194]
232	0	scNCF	[1, 1894789360, 2, 186, 16319, 1, 28752, 188750927801003, 8, 176, 32, 236]
233	0	scNCF	[34824, 16, 522, 13, 7, 1, 55, 84219221, 1, 1, 13, 7]
234	0	scNCF	[8, 224, 79228115013898347795490861296, 64242, 2, 2, 2, 65194, 14, 29952, 18446682505353332736, 1]
235	0	scNCF	[205, 1, 19, 2, 65516, 2, 1, 2047, 47786, 7, 19, 13]
236	0	scNCF	[7, 1, 191, 19, 1228, 2, 21, 14356319037227263, 11, 43706, 2, 1301]
237	0	scNCF	[31, 1, 7, 17108751, 114310159575256889801718734905575170047, 1, 1342136319, 13, 1, 19, 241, 1]
238	0	scNCF	[14131, 1, 2, 57584, 14, 2, 143, 1, 13369420, 65407, 112, 186]
239	0	scNCF	[7, 13, 2, 112, 1, 7, 1, 7999, 8, 511, 1, 1]
240	0	scNCF	[50791171, 32, 50528255, 171, 7, 14, 2, 2, 723406147902115342, 340282366920938463444951788735390744831, 242, 128]
