model_number	attractor_number	attractor_length	attractor_basin_size
40	4	1	339968
40	5	1	184320
40	6	1	333312
40	7	1	190976
40	8	1	339968
40	9	1	184320
40	10	1	333312
40	11	1	190976
40	12	1	339968
40	13	1	184320
40	14	1	333312
40	15	1	190976
40	16	1	339968
40	17	1	184320
40	18	1	333312
40	19	1	190976
40	20	1	339968
40	21	1	184320
40	22	1	333312
40	23	1	190976
40	24	1	339968
40	25	1	184320
40	26	1	333312
40	27	1	190976
40	28	1	339968
40	29	1	184320
40	30	1	333312
40	31	1	190976
40	32	1	339968
40	33	1	184320
61	1	1	11725184
61	2	1	11725184
61	3	2	5052032
61	4	2	16777216
61	5	2	5052032
61	6	2	16777216
63	1	1	1024
63	2	1	1024
63	3	1	1006
63	4	1	18
63	5	1	1024
63	6	1	1024
63	7	1	1024
63	8	1	1024
63	9	1	1024
67	1	1	512
67	2	1	512
67	3	1	512
67	4	1	512
67	5	1	512
67	6	1	512
67	7	1	24
67	8	1	24
67	9	1	512
67	10	1	512
67	11	1	512
67	12	1	512
67	13	1	512
67	14	1	512
67	15	1	512
67	16	1	512
67	17	1	512
67	18	2	80
67	19	4	128
67	20	4	128
67	21	4	128
69	1	2	1048576
69	2	2	1048576
69	3	9	1048576
69	4	9	1048576
74	1	1	255744
74	2	4	6160
74	3	4	240
85	1	1	1032192
85	2	1	3391488
85	3	1	1032192
85	4	1	3391488
85	5	1	8388608
85	6	1	8388608
85	7	1	1032192
85	8	1	3391488
85	9	1	1032192
85	10	1	3391488
85	11	1	8388608
85	12	1	8388608
85	13	1	8388608
85	14	1	8388608
85	15	1	8388608
85	16	1	8388608
85	17	1	8388608
85	18	1	8388608
85	19	1	8388608
85	20	1	8388608
85	21	2	24576
85	22	2	3940352
85	23	2	3964928
85	24	2	24576
85	25	2	3940352
85	26	2	3964928
86	1	1	52736
86	2	1	51200
86	3	1	51200
86	4	1	10240
86	5	1	3072
86	6	1	51200
86	7	1	51200
86	8	1	10240
86	9	1	3072
86	10	2	197632
86	11	2	197632
86	12	3	158208
86	13	3	210944
88	1	1	1
88	2	1	2
88	3	1	4
88	4	2	24
88	5	3	33
95	1	1	378
95	2	1	2
95	3	1	2
95	4	1	6
95	5	1	2
95	6	1	2
95	7	1	2
95	8	1	2
95	9	1	6
95	10	1	2
95	11	1	2
95	12	1	2
95	13	3	104
95	14	3	104
95	15	6	408
99	1	1	4848
99	2	1	10408
99	3	1	744
99	4	1	7552
99	5	1	25872
99	6	1	8456
99	7	1	4848
99	8	1	10408
99	9	1	744
99	10	1	7552
99	11	1	25872
99	12	1	8456
99	13	1	25872
99	14	1	8456
99	15	1	25872
99	16	1	8456
99	17	1	4848
99	18	1	10408
99	19	1	744
99	20	1	7552
99	21	1	25872
99	22	1	8456
99	23	2	11696
99	24	2	11696
99	25	2	11696
99	26	2	11696
99	27	2	11696
99	28	3	11484
99	29	3	12124
99	30	3	6088
99	31	3	12288
99	32	3	11484
99	33	3	12124
99	34	3	6088
99	35	3	12288
99	36	3	11484
99	37	3	12124
99	38	3	6088
99	39	3	12288
99	40	6	19512
99	41	6	19512
99	42	6	19512
99	43	6	19512
99	44	6	19512
100	1	1	262144
100	2	1	262144
100	3	1	262144
100	4	1	262144
100	5	1	262144
100	6	1	262144
100	7	1	262144
100	8	1	262144
109	1	1	17
109	2	4	15
110	1	1	448
110	2	1	64
133	1	1	256
133	2	1	256
133	3	1	64
133	4	1	64
133	5	1	64
133	6	1	64
133	7	1	64
133	8	1	64
133	9	1	64
133	10	1	64
200	1	1	10400896
200	2	1	18182464
200	3	1	173440
200	4	2	14531392
200	5	3	667136
200	6	6	23153536
208	1	1	368
208	2	1	448
208	3	1	21056
208	4	1	48
208	5	1	96
208	6	2	3392
208	7	2	7360
212	1	1	8192
212	2	1	192
212	3	1	8192
212	4	1	192
212	5	1	8192
212	6	1	36
212	7	1	8192
212	8	1	36
212	9	2	3840
212	10	2	5344
212	11	2	1796
212	12	2	1796
212	13	4	6360
212	14	4	6360
212	15	6	4160
212	16	6	2656
