model_no	func_type	model
28	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
29	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
30	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
31	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
32	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
33	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
34	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
35	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
36	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
37	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
38	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
39	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 196615, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
40	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
41	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
42	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
43	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
44	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
45	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
46	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
47	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 1287, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
48	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
49	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
50	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
51	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
52	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
53	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
54	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
55	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3342391, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
56	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
57	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
58	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
59	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
60	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
61	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
62	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
63	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 21847, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
64	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
65	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
66	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
67	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
68	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
69	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
70	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
71	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5570647, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
72	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
73	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
74	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
75	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
76	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
77	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
78	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
79	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 84215047, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
80	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
81	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
82	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
83	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
84	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
85	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
86	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
87	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 3604599, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
88	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
89	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
90	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
91	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
92	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
93	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
94	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
95	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 5701751, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
