model_no	func_type	model
1105	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148952220660793335, 2004811776, 863450999, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1106	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 271583650316032, 2004811776, 134217727, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1107	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 56294136411955, 2004811776, 1431789407, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1108	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 18764712129329, 2004811776, 5570647, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1109	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8319124276783349759, 2004811776, 286594325, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1110	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 123488899756112, 2004811776, 357957631, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1111	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3472329395739308851, 2004811776, 21, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1112	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544670668089013043, 2004811776, 22527, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1113	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8607917620068351999, 2004811776, 85284181, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1114	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 808480816, 2004811776, 1376511, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1115	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1224997859348189456, 2004811776, 22527, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1116	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1879109632, 2004811776, 1114131, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1117	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229501463270592785, 2004811776, 858994551, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1118	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6147507299173094741, 2004811776, 50855935, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1119	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544389188851020595, 2004811776, 252665727, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1120	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17592186109951, 2004811776, 1476354047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1121	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8589340252134930295, 2004811776, 536821759, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1122	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419458364012403, 2004811776, 1376511, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1123	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4294049779, 2004811776, 252665727, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1124	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4285923327, 2004811776, 253697823, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1125	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3530878402853810995, 2004811776, 1431655807, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1126	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3472398668458360831, 2004811776, 85327871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1127	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1157443864937632016, 2004811776, 100603391, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1128	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8607917617777702775, 2004811776, 1431655807, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1129	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1882255408, 2004811776, 983071, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1130	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229857983924535295, 2004811776, 50794255, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1131	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1152974281973444656, 2004811776, 14143, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1132	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859276940133881173, 2004811776, 8191, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1133	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 21841, 2004811776, 369098751, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1134	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689564611078782839, 2004811776, 3342391, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1135	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 270415435988991, 2004811776, 2004877311, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1136	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3458817291184009216, 2004811776, 196615, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1137	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17592471261440, 2004811776, 5119, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1138	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3458818390749295411, 2004811776, 20185087, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1139	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419186922061823, 2004811776, 859779967, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1140	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1224997790627680512, 2004811776, 50792199, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1141	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129492896368645461, 2004811776, 1431658367, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1142	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 280375465148275, 2004811776, 253697823, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1143	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 52849319932144, 2004811776, 1602191231, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1144	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3675063741768038144, 2004811776, 253714271, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1145	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 264226388111472, 2004811776, 14199, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1146	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8589339977252566899, 2004811776, 5631, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1147	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17592471261440, 2004811776, 1073709055, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1148	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148914693964953591, 2004811776, 84215047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1149	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1431664501, 2004811776, 5119, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1150	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 128642860515327, 2004811776, 286593365, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1151	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 281474725117951, 2004811776, 930611199, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1152	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 267675246854143, 2004811776, 19, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1153	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689348815887267703, 2004811776, 2139062271, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1154	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 129007932735487, 2004811776, 268378111, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1155	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 268497136, 2004811776, 930576247, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1156	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 129007932735317, 2004811776, 16713727, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1157	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6125176965332795391, 2004811776, 286331699, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1158	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148914694090915831, 2004811776, 2004318079, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1159	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 280585918545919, 2004811776, 3342463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1160	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8608630101312536567, 2004811776, 16843013, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1161	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419186908692275, 2004811776, 118427407, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1162	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 280377428082432, 2004811776, 31, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1163	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5787214929505288191, 2004811776, 327941, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1164	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3459045985324433407, 2004811776, 4128895, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1165	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1157442766482985040, 2004811776, 273, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1166	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8599051012127717205, 2004811776, 1431787351, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1167	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1152940196589736192, 2004811776, 859255671, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1168	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129492917843481941, 2004811776, 50530063, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1169	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1427133781, 2004811776, 859258687, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1170	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 53953379172351, 2004811776, 253697823, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1171	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 806367280, 2004811776, 286332245, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1172	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153202976147636223, 2004811776, 2031679, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1173	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 268225002665971, 2004811776, 1610579967, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1174	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8608630103460020087, 2004811776, 1061109631, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1175	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 859042675, 2004811776, 327687, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1176	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8093092021168795760, 2004811776, 14199, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1177	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8599051009980235605, 2004811776, 322122547, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1178	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689573994714103807, 2004811776, 87381, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1179	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 87960930242816, 2004811776, 2004318079, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1180	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4278255409, 2004811776, 286593365, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1181	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148914694088687477, 2004811776, 5767167, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1182	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6125175872832995072, 2004811776, 17764111, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1183	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6124989021857797393, 2004811776, 84215061, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1184	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129492917843481941, 2004811776, 17825791, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1185	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 53876069774131, 2004811776, 863449983, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1186	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689423874664134519, 2004811776, 930576247, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1187	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 264913582882807, 2004811776, 65793, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
1188	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5769392594690834431, 2004811776, 20123955, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
