	Node_name	k	EF	UF	PMID	BF as int	EUF	ThF	NCF	EThF	ising	bit_based
64	ATM	1	True	True	23134720	1	True	True	True	True	True	True
65	Akt	1	True	True	23134720	1	True	True	True	True	True	True
66	Bad	1	True	True	23134720	2	True	True	True	True	True	False
67	GSK3b	1	True	True	23134720	2	True	True	True	True	True	False
68	Nrf2	3	True	True	23134720	223	True	True	True	True	False	False
69	PKC	2	True	True	23134720	4	True	True	True	True	False	True
70	Keap1	3	True	True	23134720	112	True	True	True	True	False	False
71	ARE	4	True	True	23134720	16384	True	True	True	True	False	True
72	Bach1	1	True	True	23134720	2	True	True	True	True	True	False
73	Bcl2	2	True	True	23134720	8	True	True	True	True	False	False
74	PIP3	2	True	True	23134720	2	True	True	True	True	False	True
75	PIP2	1	True	True	23134720	1	True	True	True	True	True	True
76	Snai2	3	True	True	28209158	241	True	True	True	True	False	False
77	ESE2	3	True	True	28209158	220	True	True	True	True	False	False
78	NF-kB	4	True	True	28209158	32767	True	True	True	True	False	True
79	p16	5	True	True	28209158	235843327	True	False	False	False	False	False
80	p53	4	True	True	28209158	40992	True	True	True	True	False	False
81	Cyclin	4	True	True	28209158	45216	True	True	True	True	False	False
82	TELase	1	True	True	28209158	2	True	True	True	True	True	False
83	Rb	2	True	True	28209158	7	True	True	True	True	False	True
84	E2F	3	True	True	28209158	128	True	True	True	True	False	False
85	IFNG	3	True	True	22102804	128	True	True	True	True	False	False
86	P2	3	True	True	22102804	112	True	True	True	True	False	False
87	SMAD	2	True	True	22102804	4	True	True	True	True	False	True
88	Apoptosis	2	True	True	22102804	7	True	True	True	True	False	True
89	DISC	4	True	True	22102804	12032	True	True	True	True	False	False
90	Fas	2	True	True	22102804	8	True	True	True	True	False	False
91	FLIP	2	True	True	22102804	8	True	True	True	True	False	False
92	Ceramide	3	True	True	22102804	32	True	True	True	True	False	True
93	BID	2	True	True	22102804	8	True	True	True	True	False	False
94	MCL1	2	True	True	22102804	8	True	True	True	True	False	False
95	S1P	2	True	True	22102804	8	True	True	True	True	False	False
96	Caspase	4	True	True	22102804	15104	True	True	True	True	False	False
97	IAP	2	True	True	22102804	8	True	True	True	True	False	False
98	GPCR	2	True	True	22102804	4	True	True	True	True	False	True
99	sFas	2	True	True	22102804	4	True	True	True	True	False	True
100	CREB	2	True	True	22102804	4	True	True	True	True	False	True
101	CTLA4	2	True	True	22102804	4	True	True	True	True	False	True
102	TCR	2	True	True	22102804	8	True	True	True	True	False	False
103	Pax5_gene	3	True	True	28584084	84	True	True	True	True	False	True
104	Ebf1	1	True	True	28584084	1	True	True	True	True	True	True
105	Cebpa	2	True	True	28584084	7	True	True	True	True	False	True
106	Cebpb	3	True	True	28584084	21	True	True	True	True	False	False
107	Mac1_gene	1	True	True	28584084	1	True	True	True	True	True	True
108	Spi1	9	True	False	28584084	893853861996175755091903525371208748255148705905871586544369153949044630645714386844472105274685874285537182850276378007269433730224976593275941280615967	False	False	False	False	False	False
109	Csf1r_activated	2	True	True	28584084	1	True	True	True	True	False	False
110	Csf1r	2	True	True	28584084	4	True	True	True	True	False	True
111	E2A_protein_active	2	True	True	28584084	2	True	True	True	True	False	True
112	E2A	1	True	True	28584084	1	True	True	True	True	True	True
113	Id2	5	True	True	28584084	64	True	True	True	True	False	False
114	Spi1_2	8	True	True	28584084	7717705310436796486164116918171584112185388310028889028038624141563227345169	True	False	False	False	False	False
115	Runx1	1	True	True	28584084	1	True	True	True	True	True	True
116	Gfi1	4	True	True	28584084	30197	True	True	True	True	False	False
117	Foxo1	1	True	True	28584084	1	True	True	True	True	True	True
118	Ikzf1	2	True	True	28584084	7	True	True	True	True	False	True
119	Ets1	1	True	True	28584084	1	True	True	True	True	True	True
120	Pax5_protein_active	2	True	True	28584084	4	True	True	True	True	False	True
121	IL7r_activated	2	True	True	28584084	1	True	True	True	True	False	False
122	Pax5	1	True	True	28584084	1	True	True	True	True	True	True
123	Mef2c	3	True	True	28584084	84	True	True	True	True	False	True
124	Egr1	4	True	True	28584084	32607	True	True	True	True	False	False
125	IL7r	6	True	True	28584084	1233723648051707904	True	False	False	False	False	False
126	CD19_gene	2	True	True	28584084	4	True	True	True	True	False	True
127	Mac1	1	True	True	28584084	1	True	True	True	True	True	True
128	Cebpa_gene	3	True	True	28584084	16	True	True	True	True	False	False
129	Cd19	1	True	True	28584084	1	True	True	True	True	True	True
130	Foxo1_gene	3	True	True	28584084	84	True	True	True	True	False	True
131	E2A_gene	4	True	True	28584084	1287	True	True	True	True	False	False
132	Flt3	3	True	True	28584084	4	True	True	True	True	False	False
133	KLF4	3	True	True	27148350	127	True	True	True	True	False	True
134	JNK	2	True	True	27148350	7	True	True	True	True	False	True
135	ERK	1	True	True	27148350	1	True	True	True	True	True	True
136	AKT	1	True	True	27148350	1	True	True	True	True	True	True
137	MKK7	1	True	True	27148350	1	True	True	True	True	True	True
138	MEKK1	1	True	True	27148350	1	True	True	True	True	True	True
139	RAP1	1	True	True	27148350	1	True	True	True	True	True	True
140	C3G	1	True	True	27148350	1	True	True	True	True	True	True
141	RAF	2	True	True	27148350	7	True	True	True	True	False	True
142	PKC	2	True	True	27148350	7	True	True	True	True	False	True
143	RAS	1	True	True	27148350	1	True	True	True	True	True	True
144	Maff	3	True	True	27148350	127	True	True	True	True	False	True
145	ATF2	3	True	True	27148350	127	True	True	True	True	False	True
146	TrkA	1	True	True	27148350	1	True	True	True	True	True	True
147	PI3K	1	True	True	27148350	1	True	True	True	True	True	True
148	JUNB	3	True	True	27148350	127	True	True	True	True	False	True
149	G(i/o)	1	True	True	27148350	1	True	True	True	True	True	True
150	NPYY1	1	True	True	27148350	1	True	True	True	True	True	True
151	FAK	2	True	True	27148350	7	True	True	True	True	False	True
152	Itga1	1	True	True	27148350	1	True	True	True	True	True	True
153	Egr1	3	True	True	27148350	127	True	True	True	True	False	True
154	Npy	1	True	True	27148350	1	True	True	True	True	True	True
155	AP1	4	True	True	27148350	32767	True	True	True	True	False	True
156	SRF	1	True	True	27148350	1	True	True	True	True	True	True
157	RSK	1	True	True	27148350	1	True	True	True	True	True	True
158	GRB2	1	True	True	27148350	1	True	True	True	True	True	True
159	SHC	2	True	True	27148350	7	True	True	True	True	False	True
160	SOS	1	True	True	27148350	1	True	True	True	True	True	True
161	CITED2	3	True	True	27148350	127	True	True	True	True	False	True
162	P53	3	True	True	27148350	127	True	True	True	True	False	True
163	CREB	3	True	True	27148350	127	True	True	True	True	False	True
164	JUND	2	True	True	27148350	7	True	True	True	True	False	True
165	BTG2	2	True	True	27148350	7	True	True	True	True	False	True
166	MSK1/2	2	True	True	27148350	7	True	True	True	True	False	True
167	uPAR	1	True	True	27148350	1	True	True	True	True	True	True
168	KLF6	2	True	True	27148350	7	True	True	True	True	False	True
169	FRS2	1	True	True	27148350	1	True	True	True	True	True	True
170	ETS1	2	True	True	27148350	7	True	True	True	True	False	True
171	MEKK4	1	True	True	27148350	1	True	True	True	True	True	True
172	Mapk3k	1	True	True	27148350	1	True	True	True	True	True	True
173	ARC	2	True	True	27148350	7	True	True	True	True	False	True
174	KLF5	3	True	True	27148350	127	True	True	True	True	False	True
175	RAC1	1	True	True	27148350	1	True	True	True	True	True	True
176	MEK	2	True	True	27148350	7	True	True	True	True	False	True
177	MKK6	1	True	True	27148350	1	True	True	True	True	True	True
178	Ca2+	1	True	True	27148350	1	True	True	True	True	True	True
179	PLC	2	True	True	27148350	7	True	True	True	True	False	True
180	uPA/PLAT	1	True	True	27148350	1	True	True	True	True	True	True
181	P38	2	True	True	27148350	7	True	True	True	True	False	True
182	FOS	3	True	True	27148350	127	True	True	True	True	False	True
183	MYC	3	True	True	27148350	127	True	True	True	True	False	True
184	KLF10	3	True	True	27148350	127	True	True	True	True	False	True
185	Stat3	2	True	True	27148350	7	True	True	True	True	False	True
186	DAG	1	True	True	27148350	1	True	True	True	True	True	True
187	Mmp3/10	1	True	True	27148350	1	True	True	True	True	True	True
188	Plasmin	1	True	True	27148350	1	True	True	True	True	True	True
189	ECM	1	True	True	27148350	1	True	True	True	True	True	True
190	Fosl1	3	True	True	27148350	127	True	True	True	True	False	True
191	ZFP36	2	True	True	27148350	7	True	True	True	True	False	True
192	Dusp6	1	True	True	27148350	1	True	True	True	True	True	True
193	KLF2	3	True	True	27148350	127	True	True	True	True	False	True
194	nfkb	3	True	True	21968890	16	True	True	True	True	False	False
195	p50	1	True	True	21968890	1	True	True	True	True	True	True
196	p65	2	True	True	21968890	2	True	True	True	True	False	True
197	ikba	3	True	True	21968890	213	True	True	True	True	False	False
198	akt	3	True	True	21968890	1	True	True	True	True	False	False
199	pip3	2	True	True	21968890	2	True	True	True	True	False	True
200	nc_nfkb_pathway	2	True	True	21968890	1	True	True	True	True	False	False
201	nik	1	True	True	21968890	1	True	True	True	True	True	True
202	ikkaa	1	True	True	21968890	1	True	True	True	True	True	True
203	mek3	2	True	True	21968890	7	True	True	True	True	False	True
204	mekk3	2	True	True	21968890	7	True	True	True	True	False	True
205	tak1_tab	4	True	True	21968890	256	True	True	True	True	False	False
206	tdum_tpl2_degr_tp2	1	True	True	21968890	1	True	True	True	True	True	True
207	tpl2_degr	1	True	True	21968890	1	True	True	True	True	True	True
208	tpl2	4	True	True	21968890	32	True	True	True	True	False	False
209	p105	1	True	True	21968890	2	True	True	True	True	True	False
210	irak1_ub	2	True	True	21968890	1	True	True	True	True	False	False
211	pellino	2	True	True	21968890	7	True	True	True	True	False	True
212	tollip	1	True	True	21968890	1	True	True	True	True	True	True
213	il1rc	3	True	True	21968890	8	True	True	True	True	False	True
214	ikka_a	2	True	True	21968890	1	True	True	True	True	False	False
215	ikkaa_nemo	2	True	True	21968890	1	True	True	True	True	False	False
216	dum_mek3_or_4_or_6_nuc_p38	3	True	True	21968890	127	True	True	True	True	False	True
217	mek4	2	True	True	21968890	7	True	True	True	True	False	True
218	mek6	2	True	True	21968890	7	True	True	True	True	False	True
219	il1r2	2	True	True	21968890	2	True	True	True	True	False	True
220	dum_il1_r2	2	True	True	21968890	7	True	True	True	True	False	True
221	il1ra	3	True	True	21968890	87	True	True	True	True	False	False
222	ksrp	1	True	True	21968890	2	True	True	True	True	True	False
223	cyt_p38	2	True	True	21968890	1	True	True	True	True	False	False
224	ikba_diss	1	True	True	21968890	1	True	True	True	True	True	True
225	saa	2	True	True	21968890	1	True	True	True	True	False	False
226	dum_cebp_saa	2	True	True	21968890	7	True	True	True	True	False	True
227	upa	2	True	True	21968890	1	True	True	True	True	False	False
228	ap1	3	True	True	21968890	127	True	True	True	True	False	True
229	atf2	3	True	True	21968890	127	True	True	True	True	False	True
230	traf6_ub	5	True	True	21968890	4194304	True	True	True	True	False	False
231	dum_irak1_or_2_traf6_ub	2	True	True	21968890	7	True	True	True	True	False	True
232	hsp27_ps	1	True	True	21968890	1	True	True	True	True	True	True
233	a20	1	True	True	21968890	1	True	True	True	True	True	True
234	hgf	2	True	True	21968890	1	True	True	True	True	False	False
235	pro_hgf	2	True	True	21968890	7	True	True	True	True	False	True
236	ikkbb_nemo	2	True	True	21968890	1	True	True	True	True	False	False
237	nemo	1	True	True	21968890	2	True	True	True	True	True	False
238	mk2	1	True	True	21968890	1	True	True	True	True	True	True
239	nuc_p38	2	True	True	21968890	2	True	True	True	True	False	True
240	p105_degr	1	True	True	21968890	1	True	True	True	True	True	True
241	ikkb_a	2	True	True	21968890	1	True	True	True	True	False	False
242	dum_il1_r1	2	True	True	21968890	7	True	True	True	True	False	True
243	il1a	1	True	True	21968890	1	True	True	True	True	True	True
244	il1b	1	True	True	21968890	1	True	True	True	True	True	True
245	irak4	2	True	True	21968890	2	True	True	True	True	False	True
246	myd88	1	True	True	21968890	1	True	True	True	True	True	True
247	tdum_il1r2_il1rc	1	True	True	21968890	1	True	True	True	True	True	True
248	erk12	2	True	True	21968890	2	True	True	True	True	False	True
249	jnk	2	True	True	21968890	2	True	True	True	True	False	True
250	il1b_new	2	True	True	21968890	1	True	True	True	True	False	False
251	pro_il1b	4	True	True	21968890	1	True	True	True	True	False	False
252	nalp_infl	1	True	True	21968890	2	True	True	True	True	True	False
253	il6	6	True	True	21968890	32	True	True	True	True	False	False
254	cebpb	2	True	True	21968890	7	True	True	True	True	False	True
255	gsk3	1	True	True	21968890	2	True	True	True	True	True	False
256	ttp	1	True	True	21968890	2	True	True	True	True	True	False
257	dum_cebp_il1ra	2	True	True	21968890	7	True	True	True	True	False	True
258	dum_sap1_or_elk_cfos	2	True	True	21968890	7	True	True	True	True	False	True
259	sap1	3	True	True	21968890	127	True	True	True	True	False	True
260	elk1	3	True	True	21968890	127	True	True	True	True	False	True
261	tdum_irak1c_irak12	1	True	True	21968890	1	True	True	True	True	True	True
262	irak1c	2	True	True	21968890	1	True	True	True	True	False	False
263	mek1	1	True	True	21968890	1	True	True	True	True	True	True
264	mkp1	1	True	True	21968890	1	True	True	True	True	True	True
265	il1r1	2	True	True	21968890	2	True	True	True	True	False	True
266	cox2	4	True	True	21968890	32767	True	True	True	True	False	True
267	cjun	2	True	True	21968890	7	True	True	True	True	False	True
268	dum_cebp_cox2	2	True	True	21968890	7	True	True	True	True	False	True
269	traf6	1	True	True	21968890	1	True	True	True	True	True	True
270	irak1	5	True	True	21968890	1048576	True	True	True	True	False	False
271	dum_cebp_pro_il1b	2	True	True	21968890	7	True	True	True	True	False	True
272	cebpd	3	True	True	21968890	1	True	True	True	True	False	False
273	hnf4a	2	True	True	21968890	1	True	True	True	True	False	False
274	ros	2	True	True	21968890	8	True	True	True	True	False	False
275	sil1r_ap	1	True	True	21968890	1	True	True	True	True	True	True
276	tdum_mkp1_p38_jnk_erk12	1	True	True	21968890	1	True	True	True	True	True	True
277	tdum_cyt_p38_tak1_tab	1	True	True	21968890	1	True	True	True	True	True	True
278	irs1_ps	3	True	True	21968890	127	True	True	True	True	False	True
279	dum_mek4_or_7_jnk	2	True	True	21968890	7	True	True	True	True	False	True
280	lbp	2	True	True	21968890	1	True	True	True	True	False	False
281	dum_tak1_tab_or_mekk3_ikkb_a	3	True	True	21968890	55	True	True	True	True	False	False
282	dum_ikkab_or_ikkbb_nemo_ikkb_a	2	True	True	21968890	7	True	True	True	True	False	True
283	cjun_gene	1	True	True	21968890	1	True	True	True	True	True	True
284	msk1	2	True	True	21968890	7	True	True	True	True	False	True
285	dum_ikkab_nemo_akt_or_ck2_p65	3	True	True	21968890	55	True	True	True	True	False	False
286	ikkab_nemo	3	True	True	21968890	1	True	True	True	True	False	False
287	tdum_il1ra_ilr12	1	True	True	21968890	1	True	True	True	True	True	True
288	ccl2	4	True	True	21968890	1	True	True	True	True	False	False
289	pi3k	2	True	True	21968890	7	True	True	True	True	False	True
290	tdum_a20_traf6_ub	1	True	True	21968890	1	True	True	True	True	True	True
291	mek7	2	True	True	21968890	7	True	True	True	True	False	True
292	inos	2	True	True	21968890	7	True	True	True	True	False	True
293	irak2	4	True	True	21968890	256	True	True	True	True	False	False
294	cfos	2	True	True	21968890	1	True	True	True	True	False	False
295	tdum_hsp27_ps_traf6_ub	1	True	True	21968890	1	True	True	True	True	True	True
296	ikba_degr	4	True	True	21968890	14335	True	True	True	True	False	False
297	il8	5	True	True	21968890	32	True	True	True	True	False	False
298	STAT5	1	True	True	26751566	1	True	True	True	True	True	True
299	IL-2R	1	True	True	26751566	1	True	True	True	True	True	True
300	IL-21R	1	True	True	26751566	1	True	True	True	True	True	True
301	Blimp1	6	True	True	26751566	5533798042131496960	True	True	True	True	False	False
302	Irf4	4	True	True	26751566	32597	True	True	True	True	False	False
303	Bcl6	7	True	True	26751566	158178131498404988884704354616177852416	True	True	True	True	False	False
304	Bach2	2	True	True	26751566	4	True	True	True	True	False	True
305	Pax5	4	True	True	26751566	53248	True	True	True	True	False	False
306	ERK	1	True	True	26751566	1	True	True	True	True	True	True
307	STAT3	1	True	True	26751566	1	True	True	True	True	True	True
308	CD40	1	True	True	26751566	1	True	True	True	True	True	True
309	BCR	1	True	True	26751566	1	True	True	True	True	True	True
310	STAT6	1	True	True	26751566	1	True	True	True	True	True	True
311	IL-4R	1	True	True	26751566	1	True	True	True	True	True	True
312	NF-kB	1	True	True	26751566	1	True	True	True	True	True	True
313	XBP1	2	True	True	26751566	2	True	True	True	True	False	True
314	AID	4	True	True	26751566	22272	True	True	True	True	False	False
315	BID	5	True	True	22102804	704643072	True	True	True	True	False	False
316	Caspase	6	True	True	22102804	71860777161588736	True	True	True	True	False	False
317	BclxL	6	True	True	22102804	8070450532247928832	True	True	True	True	False	False
318	Apoptosis	2	True	True	22102804	7	True	True	True	True	False	True
319	MCL1	6	True	True	22102804	281474976710656	True	True	True	True	False	False
320	GZMB	4	True	True	22102804	22272	True	True	True	True	False	False
321	TNF	2	True	True	22102804	4	True	True	True	True	False	True
322	NFKB	6	True	True	22102804	4557431162615627776	True	True	True	True	False	False
323	IL2	5	True	True	22102804	715784192	True	True	True	True	False	False
324	TBET	3	True	True	22102804	112	True	True	True	True	False	False
325	NFAT	2	True	True	22102804	4	True	True	True	True	False	True
326	STAT3	2	True	True	22102804	4	True	True	True	True	False	True
327	FLIP	5	True	True	22102804	1349517312	True	True	True	True	False	False
328	DISC	6	True	True	22102804	3675731796164608	True	True	True	True	False	False
329	CREB	3	True	True	22102804	16	True	True	True	True	False	False
330	IFNG	7	True	True	22102804	20040064622071666324044513280	True	True	True	True	False	False
331	TCR	3	True	True	22102804	64	True	True	True	True	False	True
332	CTLA4	2	True	True	22102804	4	True	True	True	True	False	True
333	PDGFR	3	True	True	22102804	112	True	True	True	True	False	False
334	S1P	3	True	True	22102804	64	True	True	True	True	False	True
335	FasL	5	True	True	22102804	2147418112	True	True	True	True	False	False
336	ERK	3	True	True	22102804	16	True	True	True	True	False	False
337	ZAP70	3	True	True	22102804	64	True	True	True	True	False	True
338	LCK	5	True	True	22102804	721354752	True	True	True	True	False	False
339	FYN	3	True	True	22102804	112	True	True	True	True	False	False
340	sFas	3	True	True	22102804	16	True	True	True	True	False	False
341	FasT	2	True	True	22102804	4	True	True	True	True	False	True
342	IL2RB	4	True	True	22102804	5376	True	True	True	True	False	False
343	SPHK1	2	True	True	22102804	4	True	True	True	True	False	True
344	TRADD	4	True	True	22102804	16384	True	True	True	True	False	True
345	IAP	3	True	True	22102804	64	True	True	True	True	False	True
346	PI3K	3	True	True	22102804	112	True	True	True	True	False	False
347	A20	2	True	True	22102804	4	True	True	True	True	False	True
348	RAS	4	True	True	22102804	28672	True	True	True	True	False	False
349	GAP	6	True	True	22102804	5764730668336545792	True	True	True	True	False	False
350	IL2RAT	4	True	True	22102804	1792	True	True	True	True	False	False
351	PLCG1	3	True	True	22102804	112	True	True	True	True	False	False
352	GRB2	3	True	True	22102804	112	True	True	True	True	False	False
353	JAK	7	True	True	22102804	56713727767337635567719542842932068352	True	True	True	True	False	False
354	IFNGT	4	True	True	22102804	32512	True	True	True	True	False	False
355	SMAD	2	True	True	22102804	4	True	True	True	True	False	True
356	P2	4	True	True	22102804	10752	True	True	True	True	False	False
357	Ceramide	3	True	True	22102804	32	True	True	True	True	False	True
358	RANTES	2	True	True	22102804	4	True	True	True	True	False	True
359	IL2RA	4	True	True	22102804	1024	True	True	True	True	False	False
360	Fas	4	True	True	22102804	512	True	True	True	True	False	False
361	GPCR	2	True	True	22102804	4	True	True	True	True	False	True
362	TPL2	4	True	True	22102804	14080	True	True	True	True	False	False
363	IL2RBT	3	True	True	22102804	16	True	True	True	True	False	False
364	P27	2	True	True	22102804	4	True	True	True	True	False	True
365	SOCS	4	True	True	22102804	16384	True	True	True	True	False	True
366	Cytoskeleton_signaling	2	True	True	22102804	4	True	True	True	True	False	True
367	MEK	2	True	True	22102804	4	True	True	True	True	False	True
368	Proliferation	3	True	True	22102804	64	True	True	True	True	False	True
369	GSK3a_b	3	True	True	24970389	127	True	True	True	True	False	True
370	CyclinD1	5	True	True	24970389	1288490188	True	True	True	True	False	False
371	p53	6	True	True	24970389	9223372036854775807	True	True	True	True	False	True
372	cJUN	2	True	True	24970389	2	True	True	True	True	False	True
373	ERBB2	5	True	True	24970389	536911872	True	True	True	True	False	False
374	AKT	5	True	True	24970389	715827882	True	True	True	True	False	False
375	PTEN	2	True	True	24970389	4	True	True	True	True	False	True
376	ERBB3	6	True	True	24970389	8070450536274460672	True	True	True	True	False	False
377	ERBB1	4	True	True	24970389	16576	True	True	True	True	False	False
378	p70S6K	5	True	True	24970389	134252544	True	True	True	True	False	False
379	PRAS	2	True	True	24970389	4	True	True	True	True	False	True
380	Nfkb	1	True	True	24970389	1	True	True	True	True	True	True
381	TSC2	4	True	True	24970389	16384	True	True	True	True	False	True
382	ERK1_2	2	True	True	24970389	7	True	True	True	True	False	True
383	RPS6	2	True	True	24970389	7	True	True	True	True	False	True
384	p38	2	True	True	24970389	7	True	True	True	True	False	True
385	RB	3	True	True	24970389	112	True	True	True	True	False	False
386	CyclinB1	4	True	True	24970389	10922	True	True	True	True	False	False
387	cRAF	4	True	True	24970389	10922	True	True	True	True	False	False
388	BAX	1	True	True	24970389	1	True	True	True	True	True	True
389	FoxO1_3a	2	True	True	24970389	4	True	True	True	True	False	True
390	MEK1_2	4	True	True	24970389	32767	True	True	True	True	False	True
391	ERBB2	6	True	True	24970389	8070450536274460672	True	True	True	True	False	False
392	ERBB1	5	True	True	24970389	143165576	True	True	True	True	False	False
393	ERBB3	4	True	True	24970389	2184	True	True	True	True	False	False
394	PDK1	5	True	True	24970389	2147483647	True	True	True	True	False	True
395	PLCg	5	True	True	24970389	2147483647	True	True	True	True	False	True
396	AKT	4	True	True	24970389	32767	True	True	True	True	False	True
397	mTOR	3	True	True	24970389	127	True	True	True	True	False	True
398	PKCa	2	True	True	24970389	7	True	True	True	True	False	True
399	p70S6K	4	True	True	24970389	32767	True	True	True	True	False	True
400	ERK1_2	4	True	True	24970389	32767	True	True	True	True	False	True
401	Psh	2	True	True	23868318	4	True	True	True	True	False	True
402	Viru_Fact	2	True	True	23868318	7	True	True	True	True	False	True
403	Sphinx	1	True	True	23868318	1	True	True	True	True	True	True
404	Grass	1	True	True	23868318	1	True	True	True	True	True	True
405	Spd	1	True	True	23868318	1	True	True	True	True	True	True
406	Ndl	1	True	True	23868318	1	True	True	True	True	True	True
407	SPE	5	True	True	23868318	2147483647	True	True	True	True	False	True
408	Spirit	1	True	True	23868318	1	True	True	True	True	True	True
409	Easter	2	True	True	23868318	1	True	True	True	True	False	False
410	PGRP_SD	1	True	True	23868318	1	True	True	True	True	True	True
411	DAP	1	True	True	23868318	1	True	True	True	True	True	True
412	Snk	1	True	True	23868318	1	True	True	True	True	True	True
413	Gd	1	True	True	23868318	1	True	True	True	True	True	True
414	Spz	1	True	True	23868318	1	True	True	True	True	True	True
415	ModSP	4	True	True	23868318	32767	True	True	True	True	False	True
416	GNBP3	1	True	True	23868318	1	True	True	True	True	True	True
417	PGRP_SA	1	True	True	23868318	1	True	True	True	True	True	True
418	GNBP1	1	True	True	23868318	1	True	True	True	True	True	True
419	Toll	1	True	True	23868318	1	True	True	True	True	True	True
420	Spz	1	True	True	23868318	2	True	True	True	True	True	False
421	Pelle	1	True	True	23868318	1	True	True	True	True	True	True
422	Tube	1	True	True	23868318	1	True	True	True	True	True	True
423	MyD88	1	True	True	23868318	1	True	True	True	True	True	True
424	Targets	2	True	True	23868318	7	True	True	True	True	False	True
425	Dif	1	True	True	23868318	2	True	True	True	True	True	False
426	Dorsal	1	True	True	23868318	2	True	True	True	True	True	False
427	Cactus	2	True	True	23868318	14	True	True	True	True	False	False
428	ATR	4	True	True	22267503	28912	True	True	True	True	False	False
429	ssDNARPA	6	True	True	22267503	538976416	True	True	True	True	False	False
