	nodename	pmid	model	k	BF as int	UF	EF	EUF	ThF	NCF	EThF	ising	bit_based
107	v_IFNGR1	18433497	1	1	1	True	True	True	True	True	True	True	True
108	v_IFNGR2	18433497	1	1	1	True	True	True	True	True	True	True	True
109	v_IFR5gene	18433497	1	2	7	True	True	True	True	True	True	False	True
110	v_IKBKB	18433497	1	1	1	True	True	True	True	True	True	True	True
111	v_IKBKE	18433497	1	1	1	True	True	True	True	True	True	True	True
112	v_IKBKE_TBK1	18433497	1	3	1	True	True	True	True	True	True	False	False
113	v_IKBKG	18433497	1	1	1	True	True	True	True	True	True	True	True
114	v_IKBKG_CHUK_IKBKB	18433497	1	5	65541	True	True	True	True	True	True	False	False
115	v_IL12Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True
116	v_IL15gene	18433497	1	1	1	True	True	True	True	True	True	True	True
117	v_IL1Bgene	18433497	1	2	1	True	True	True	True	True	True	False	False
118	v_IL1R1	18433497	1	1	1	True	True	True	True	True	True	True	True
119	v_ILIB_IL1R1	18433497	1	2	1	True	True	True	True	True	True	False	False
120	v_ILIB_IL1R1_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	False	False
121	v_ILIB_IL1R1_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
122	v_IPARP	18433497	1	3	19	True	True	True	True	True	True	False	False
123	v_IRAK1	18433497	1	1	1	True	True	True	True	True	True	True	True
124	v_IRAK2	18433497	1	1	1	True	True	True	True	True	True	True	True
125	v_IRAK4	18433497	1	1	1	True	True	True	True	True	True	True	True
126	v_IRF1_IRF1cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
127	v_IRF1_IRF1nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
128	v_IRF1cytoplasm	18433497	1	3	127	True	True	True	True	True	True	False	True
129	v_IRF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
130	v_IRF2	18433497	1	1	1	True	True	True	True	True	True	True	True
131	v_IRF2gene	18433497	1	1	1	True	True	True	True	True	True	True	True
132	v_IRF3	18433497	1	2	7	True	True	True	True	True	True	False	True
133	v_IRF3_IRF3cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
134	v_IRF3_IRF3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
135	v_IRF3_IRF5cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
136	v_IRF3_IRF5nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
137	v_IRF3_IRF7cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
138	v_IRF3_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
139	v_IRF4	18433497	1	1	1	True	True	True	True	True	True	True	True
140	v_IRF5	18433497	1	3	127	True	True	True	True	True	True	False	True
141	v_IRF5_IRF5cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
142	v_IRF5_IRF5nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
143	v_IRF5_IRF7cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
144	v_IRF5_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
145	v_IRF7	18433497	1	1	1	True	True	True	True	True	True	True	True
146	v_IRF7_IRF7cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
147	v_IRF7_IRF7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
148	v_IRF8	18433497	1	2	7	True	True	True	True	True	True	False	True
149	v_IRF9	18433497	1	1	1	True	True	True	True	True	True	True	True
150	v_ISGF3cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
151	v_ISGF3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
152	v_Inactivation_of_Protein_Synthesis	18433497	1	1	1	True	True	True	True	True	True	True	True
153	v_Inactive_DNA_Repair	18433497	1	1	1	True	True	True	True	True	True	True	True
154	v_JAK1	18433497	1	1	1	True	True	True	True	True	True	True	True
155	v_JAK2	18433497	1	1	1	True	True	True	True	True	True	True	True
156	v_LMNA	18433497	1	1	1	True	True	True	True	True	True	True	True
157	v_LPS	18433497	1	1	1	True	True	True	True	True	True	True	True
158	v_MAP3K14	18433497	1	3	127	True	True	True	True	True	True	False	True
159	v_MAP3K7	18433497	1	1	1	True	True	True	True	True	True	True	True
160	v_MAP3K7IP1	18433497	1	1	1	True	True	True	True	True	True	True	True
161	v_MAP3K7IP2	18433497	1	1	1	True	True	True	True	True	True	True	True
162	v_MDM2gene	18433497	1	1	1	True	True	True	True	True	True	True	True
163	v_MYD88	18433497	1	1	1	True	True	True	True	True	True	True	True
164	v_NFKB1_p50	18433497	1	1	1	True	True	True	True	True	True	True	True
165	v_NFKB2p100	18433497	1	1	1	True	True	True	True	True	True	True	True
166	v_NFKB2p100_NFKB2p100_Ub	18433497	1	2	1	True	True	True	True	True	True	False	False
167	v_NFKB2p100_NFKB2p100cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
168	v_NFKB2p100_RELB_Ub	18433497	1	2	1	True	True	True	True	True	True	False	False
169	v_NFKB2p100_RELBcytoplasm	18433497	1	3	1	True	True	True	True	True	True	False	False
170	v_NFKB2p52_NFKB2p52cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
171	v_NFKB2p52_NFKB2p52nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
172	v_NFKB2p52_RELBcytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
173	v_NFKB2p52_RELBnucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
174	v_NFKBIA	18433497	1	2	7	True	True	True	True	True	True	False	True
175	v_NFKBIA_RELAp65_NFKB1p50	18433497	1	5	7	True	True	True	True	True	True	False	False
176	v_NOS2Agene	18433497	1	1	1	True	True	True	True	True	True	True	True
177	v_OAS1gene	18433497	1	4	32767	True	True	True	True	True	True	False	True
178	v_PARP	18433497	1	1	1	True	True	True	True	True	True	True	True
179	v_PDCD8_HSPA1A	18433497	1	2	1	True	True	True	True	True	True	False	False
180	v_PDCD8cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
181	v_PDCD8mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
182	v_PDCD8nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
183	v_PKA	18433497	1	1	1	True	True	True	True	True	True	True	True
184	v_PKC	18433497	1	1	1	True	True	True	True	True	True	True	True
185	v_PLSCR1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
186	v_PMAIPgene	18433497	1	1	1	True	True	True	True	True	True	True	True
187	v_PRKCD	18433497	1	1	1	True	True	True	True	True	True	True	True
188	v_PRKCZ	18433497	1	1	1	True	True	True	True	True	True	True	True
189	v_PRKRA	18433497	1	1	1	True	True	True	True	True	True	True	True
190	v_PRKRAgene	18433497	1	1	1	True	True	True	True	True	True	True	True
191	v_PSMB9gene	18433497	1	2	7	True	True	True	True	True	True	False	True
192	v_PTP	18433497	1	1	1	True	True	True	True	True	True	True	True
193	v_PTPN2	18433497	1	1	1	True	True	True	True	True	True	True	True
194	v_ProCASP1	18433497	1	1	1	True	True	True	True	True	True	True	True
195	v_ProCASP10	18433497	1	1	1	True	True	True	True	True	True	True	True
196	v_ProCASP2	18433497	1	1	1	True	True	True	True	True	True	True	True
197	v_ProCASP3	18433497	1	1	1	True	True	True	True	True	True	True	True
198	v_ProCASP4	18433497	1	1	1	True	True	True	True	True	True	True	True
199	v_ProCASP6	18433497	1	1	1	True	True	True	True	True	True	True	True
200	v_ProCASP7	18433497	1	1	1	True	True	True	True	True	True	True	True
201	v_ProCASP8	18433497	1	1	1	True	True	True	True	True	True	True	True
202	v_Proteasome	18433497	1	1	1	True	True	True	True	True	True	True	True
203	v_RELA_p65	18433497	1	1	1	True	True	True	True	True	True	True	True
204	v_RELAp65_NFBK1p50nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
205	v_RELAp65_NFKB1p50cytoplasm	18433497	1	7	659441904523645034222705837298614527	True	True	True	True	True	True	False	False
206	v_RELB	18433497	1	1	1	True	True	True	True	True	True	True	True
207	v_RIPK1	18433497	1	1	1	True	True	True	True	True	True	True	True
208	v_RIPK1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
209	v_RIPK3	18433497	1	1	1	True	True	True	True	True	True	True	True
210	v_RPS6KA5	18433497	1	1	1	True	True	True	True	True	True	True	True
211	v_SOCS1	18433497	1	1	1	True	True	True	True	True	True	True	True
212	v_SOCS3	18433497	1	1	1	True	True	True	True	True	True	True	True
213	v_SOD2gene	18433497	1	1	1	True	True	True	True	True	True	True	True
214	v_SP100gene	18433497	1	1	1	True	True	True	True	True	True	True	True
215	v_SPI1	18433497	1	1	1	True	True	True	True	True	True	True	True
216	v_STAT1	18433497	1	1	1	True	True	True	True	True	True	True	True
217	v_STAT1_STAT1_IRF9cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
218	v_STAT1_STAT1_IRF9nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
219	v_STAT1_STAT1cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
220	v_STAT1_STAT1nucleus_p1	18433497	1	1	1	True	True	True	True	True	True	True	True
221	v_STAT1_STAT1nucleus_p2	18433497	1	1	1	True	True	True	True	True	True	True	True
222	v_STAT1_STAT2	18433497	1	2	1	True	True	True	True	True	True	False	False
223	v_STAT1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
224	v_STAT2	18433497	1	1	1	True	True	True	True	True	True	True	True
225	v_TAP1gene	18433497	1	2	7	True	True	True	True	True	True	False	True
226	v_TBK1	18433497	1	1	1	True	True	True	True	True	True	True	True
227	v_TICAM1	18433497	1	1	1	True	True	True	True	True	True	True	True
228	v_TICAM2	18433497	1	1	1	True	True	True	True	True	True	True	True
229	v_TIRAP	18433497	1	1	1	True	True	True	True	True	True	True	True
230	v_TLR1_TLR2	18433497	1	1	1	True	True	True	True	True	True	True	True
231	v_TLR1_TLR2_TIRAP_MYD88_IRAK2_IRAK1_IRAK4	18433497	1	6	1	True	True	True	True	True	True	False	False
232	v_TLR1_TLR2_TIRAP_MYD88_IRAK2_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
233	v_TLR2	18433497	1	1	1	True	True	True	True	True	True	True	True
234	v_TLR2_TLR6	18433497	1	3	1	True	True	True	True	True	True	False	False
235	v_TLR2_TLR6_TOLLIP_MYD88_IRAK1_IRAK4	18433497	1	5	1	True	True	True	True	True	True	False	False
236	v_TLR2_TLR6_TOLLIP_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
237	v_TLR3	18433497	1	1	1	True	True	True	True	True	True	True	True
238	v_TLR3_TICAM1_TICAM2	18433497	1	3	1	True	True	True	True	True	True	False	False
239	v_TLR3_TICAM1_TICAM2_RIPK1	18433497	1	2	1	True	True	True	True	True	True	False	False
240	v_TLR3_TICAM1_TICAM2_RIPK1_RIPK3	18433497	1	2	1	True	True	True	True	True	True	False	False
241	v_TLR3_TICAM1_TICAM2_TBK1	18433497	1	2	1	True	True	True	True	True	True	False	False
242	v_TLR3_TICAM1_TICAM2_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
243	v_TLR3_TLR3	18433497	1	2	1	True	True	True	True	True	True	False	False
244	v_TLR4	18433497	1	1	1	True	True	True	True	True	True	True	True
245	v_TLR4_TICAM1_TICAM2	18433497	1	3	1	True	True	True	True	True	True	False	False
246	v_TLR5	18433497	1	1	1	True	True	True	True	True	True	True	True
247	v_TLR5_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	False	False
248	v_TLR5_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
249	v_TLR5_TLR5	18433497	1	2	1	True	True	True	True	True	True	False	False
250	v_TLR6	18433497	1	1	1	True	True	True	True	True	True	True	True
251	v_TLR7	18433497	1	1	1	True	True	True	True	True	True	True	True
252	v_TLR7_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	False	False
253	v_TLR7_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
254	v_TLR7_MYD88_TRAF6_IRF5	18433497	1	4	16	True	True	True	True	True	True	False	False
255	v_TLR7_TLR7	18433497	1	2	1	True	True	True	True	True	True	False	False
256	v_TLR9	18433497	1	1	1	True	True	True	True	True	True	True	True
257	v_TLR9_MYD88_IRAK1_IRAK4	18433497	1	4	1	True	True	True	True	True	True	False	False
258	v_TLR9_MYD88_IRAK1_IRAK4_TRAF6	18433497	1	2	1	True	True	True	True	True	True	False	False
259	v_TLR9_MYD88_TRAF6	18433497	1	1	1	True	True	True	True	True	True	True	True
260	v_TLR9_MYD88_TRAF6_IRF5	18433497	1	4	256	True	True	True	True	True	True	False	False
261	v_TLR9_TLR9	18433497	1	2	1	True	True	True	True	True	True	False	False
262	v_TNFRSF10A	18433497	1	1	1	True	True	True	True	True	True	True	True
263	v_TNFRSF10B	18433497	1	1	1	True	True	True	True	True	True	True	True
264	v_TNFRSF10Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True
265	v_TNFRSF17	18433497	1	1	1	True	True	True	True	True	True	True	True
266	v_TNFRSF1A	18433497	1	1	1	True	True	True	True	True	True	True	True
267	v_TNFRSF1B	18433497	1	1	1	True	True	True	True	True	True	True	True
268	v_TNFSF10_TNFRSF10A	18433497	1	2	1	True	True	True	True	True	True	False	False
269	v_TNFSF10_TNFRSF10A_FADD	18433497	1	2	1	True	True	True	True	True	True	False	False
270	v_TNFSF10_TNFSF10B	18433497	1	2	1	True	True	True	True	True	True	False	False
271	v_TNFSF10_TNFSF10B_FADD	18433497	1	2	1	True	True	True	True	True	True	False	False
272	v_TNFSF10gene	18433497	1	2	7	True	True	True	True	True	True	False	True
273	v_TNFSF13B_TNFRSF17	18433497	1	2	1	True	True	True	True	True	True	False	False
274	v_TNFSF13B_TNFRSF17_TRAF5	18433497	1	2	1	True	True	True	True	True	True	False	False
275	v_TNF_BAG4_TNFRSF1A	18433497	1	2	1	True	True	True	True	True	True	False	False
276	v_TNF_IKBKG_Complex	18433497	1	4	1	True	True	True	True	True	True	False	False
277	v_TNF_TNFRSF1A	18433497	1	1	1	True	True	True	True	True	True	True	True
278	v_TNF_TNFRSF1A_FADD_TRADD	18433497	1	3	1	True	True	True	True	True	True	False	False
279	v_TNF_TNFRSF1A_FADD_TRADD_TRAF2_RIPK1	18433497	1	3	1	True	True	True	True	True	True	False	False
280	v_TNF_TNFRSF1B	18433497	1	2	1	True	True	True	True	True	True	False	False
281	v_TNF_TNFRSF1B_TRAF2	18433497	1	2	1	True	True	True	True	True	True	False	False
282	v_TOLLIP	18433497	1	1	1	True	True	True	True	True	True	True	True
283	v_TP53cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
284	v_TP53nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
285	v_TRADD	18433497	1	1	1	True	True	True	True	True	True	True	True
286	v_TRAF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
287	v_TRAF2cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
288	v_TRAF2gene	18433497	1	1	1	True	True	True	True	True	True	True	True
289	v_TRAF3	18433497	1	1	1	True	True	True	True	True	True	True	True
290	v_TRAF5	18433497	1	1	1	True	True	True	True	True	True	True	True
291	v_TRAF6	18433497	1	1	1	True	True	True	True	True	True	True	True
292	v_TYK2	18433497	1	1	1	True	True	True	True	True	True	True	True
293	v_Triacyl_Lipopeptides	18433497	1	1	1	True	True	True	True	True	True	True	True
294	v_Ub	18433497	1	1	1	True	True	True	True	True	True	True	True
295	v_Viral_Bacterial_CpG	18433497	1	2	7	True	True	True	True	True	True	False	True
296	v_cGAS2	18433497	1	2	1	True	True	True	True	True	True	False	False
297	v_cLMNA	18433497	1	2	1	True	True	True	True	True	True	False	False
298	v_dsRNA	18433497	1	1	1	True	True	True	True	True	True	True	True
299	v_ssRNA	18433497	1	1	1	True	True	True	True	True	True	True	True
300	v_tBID	18433497	1	3	21	True	True	True	True	True	True	False	False
301	v_Akt1	19118495	3	5	2147483647	True	True	True	True	True	True	False	True
302	v_CDK2	19118495	3	3	64	True	True	True	True	True	True	False	True
303	v_CDK4	19118495	3	3	64	True	True	True	True	True	True	False	True
304	v_CDK6	19118495	3	1	1	True	True	True	True	True	True	True	True
305	v_CycD1	19118495	3	4	273	True	True	True	True	True	True	False	False
306	v_CycE1	19118495	3	1	1	True	True	True	True	True	True	True	True
307	v_ERa	19118495	3	2	7	True	True	True	True	True	True	False	True
308	v_ErbB1	19118495	3	1	1	True	True	True	True	True	True	True	True
309	v_ErbB1_2	19118495	3	2	1	True	True	True	True	True	True	False	False
310	v_ErbB1_3	19118495	3	2	1	True	True	True	True	True	True	False	False
311	v_ErbB2	19118495	3	1	1	True	True	True	True	True	True	True	True
312	v_ErbB2_3	19118495	3	2	1	True	True	True	True	True	True	False	False
313	v_ErbB3	19118495	3	1	1	True	True	True	True	True	True	True	True
314	v_IGF1R	19118495	3	3	76	True	True	True	True	True	True	False	False
315	v_MEK1	19118495	3	5	2147483647	True	True	True	True	True	True	False	True
316	v_cMYC	19118495	3	3	127	True	True	True	True	True	True	False	True
317	v_p21	19118495	3	4	8192	True	True	True	True	True	True	False	True
318	v_p27	19118495	3	5	536870912	True	True	True	True	True	True	False	True
319	v_pRB	19118495	3	2	1	True	True	True	True	True	True	False	False
320	v_ADD	22267503	5	5	67947724	True	True	True	True	True	True	False	False
321	v_ATM	22267503	5	3	42	True	True	True	True	True	True	False	False
322	v_ATR	22267503	5	4	10922	True	True	True	True	True	True	False	False
323	v_BRCA1	22267503	5	5	71582788	True	True	True	True	True	True	False	False
324	v_CHK1	22267503	5	4	19660	True	True	True	True	True	True	False	False
325	v_CHK2	22267503	5	4	19660	True	True	True	True	True	True	False	False
326	v_CHKREC	22267503	5	7	329643350694937593913904043882583097344	True	True	True	True	True	True	False	False
327	v_DNAPK	22267503	5	3	2	True	True	True	True	True	True	False	False
328	v_DSB	22267503	5	5	1086374080	True	True	True	True	True	True	False	False
329	v_FAN1	22267503	5	2	1	True	True	True	True	True	True	False	False
330	v_FANCD1N	22267503	5	4	563	True	True	True	True	True	True	False	False
331	v_FANCD2I	22267503	5	6	573988187802122	True	True	True	True	True	True	False	False
332	v_FANCJBRCA1	22267503	5	4	1911	True	True	True	False	False	False	False	False
333	v_FANCM	22267503	5	2	2	True	True	True	True	True	True	False	True
334	v_FAcore	22267503	5	4	546	True	True	True	True	True	True	False	False
335	v_H2AX	22267503	5	5	273698896	True	True	True	True	True	True	False	False
336	v_HRR	22267503	5	5	256	True	True	True	True	True	True	False	False
337	v_ICL	22267503	5	2	4	True	True	True	True	True	True	False	True
338	v_KU	22267503	5	4	128	True	True	True	True	True	True	False	True
339	v_MRN	22267503	5	6	11010048	True	True	True	True	True	True	False	False
340	v_MUS81	22267503	5	1	1	True	True	True	True	True	True	True	True
341	v_NHEJ	22267503	5	9	11756616365481441454787207326475574060568034299009443976854872221235787141526310224791404732724271529332191096054868096129509429199167815680	True	True	True	False	False	False	False	False
342	v_PCNATLS	22267503	5	3	8	True	True	True	True	True	True	False	True
343	v_RAD51	22267503	5	3	2	True	True	True	True	True	True	False	False
